date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:41:08	62926/62926	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2023%20Aug%202016%2018:30:55%20GMT	http://www.saadstudio.in/fonts/glyphicons-halflings-regular.svg	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/fonts/glyphicons-halflings-regular.svg	(from http://www.saadstudio.in/css/bootstrap.min.css)
20:41:09	41280/41280	---M--	200	added ('OK')	text/plain	date:Tue,%2023%20Aug%202016%2018:30:55%20GMT	http://www.saadstudio.in/fonts/glyphicons-halflings-regular.ttf	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/fonts/glyphicons-halflings-regular.ttf	(from http://www.saadstudio.in/css/bootstrap.min.css)
20:41:18	70807/70807	---M--	200	added ('OK')	text/plain	date:Tue,%2023%20Aug%202016%2018:30:46%20GMT	http://www.saadstudio.in/fonts/fontawesome-webfont.eot?v=4.5.0	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/fonts/fontawesome-webfont3295.eot	(from http://www.saadstudio.in/css/font-awesome.min.css)
20:41:18	70807/70807	---M--	200	added ('OK')	text/plain	date:Tue,%2023%20Aug%202016%2018:30:46%20GMT	http://www.saadstudio.in/fonts/fontawesome-webfont.eot?	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/fonts/fontawesome-webfontd41d.eot	(from http://www.saadstudio.in/css/font-awesome.min.css)
20:41:18	66624/66624	---M--	200	added ('OK')	text/plain	date:Tue,%2023%20Aug%202016%2018:30:51%20GMT	http://www.saadstudio.in/fonts/fontawesome-webfont.woff2?v=4.5.0	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/fonts/fontawesome-webfont3295.woff2	(from http://www.saadstudio.in/css/font-awesome.min.css)
20:41:21	8581/8581	---M--	200	added ('OK')	image/gif	date:Tue,%2023%20Aug%202016%2018:30:42%20GMT	http://www.saadstudio.in/css/img/bx_loader.gif	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/css/img/bx_loader.gif	(from http://www.saadstudio.in/css/jquery.bxslider.css)
20:41:24	83588/83588	---M--	200	added ('OK')	text/plain	date:Tue,%2023%20Aug%202016%2018:30:50%20GMT	http://www.saadstudio.in/fonts/fontawesome-webfont.woff?v=4.5.0	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/fonts/fontawesome-webfont3295.woff	(from http://www.saadstudio.in/css/font-awesome.min.css)
20:41:24	2806/2806	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202016%2018:30:41%20GMT	http://www.saadstudio.in/css/img/controls.png	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/css/img/controls.png	(from http://www.saadstudio.in/css/jquery.bxslider.css)
20:41:26	1362/1362	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202016%2018:32:53%20GMT	http://www.saadstudio.in/js/fancybox/fancybox_sprite.png	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/js/fancybox/fancybox_sprite.png	(from http://www.saadstudio.in/js/fancybox/jquery.fancybox.css)
20:41:28	6567/6567	---M--	200	added ('OK')	image/gif	date:Tue,%2023%20Aug%202016%2018:32:50%20GMT	http://www.saadstudio.in/js/fancybox/fancybox_loading.gif	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/js/fancybox/fancybox_loading.gif	(from http://www.saadstudio.in/js/fancybox/jquery.fancybox.css)
20:41:29	43/43	---M--	200	added ('OK')	image/gif	date:Tue,%2023%20Aug%202016%2018:32:49%20GMT	http://www.saadstudio.in/js/fancybox/blank.gif	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/js/fancybox/blank.gif	(from http://www.saadstudio.in/js/fancybox/jquery.fancybox.css)
20:41:31	365616/365616	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2023%20Aug%202016%2018:30:48%20GMT	http://www.saadstudio.in/fonts/fontawesome-webfont.svg?v=4.5.0	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/fonts/fontawesome-webfont3295.svg	(from http://www.saadstudio.in/css/font-awesome.min.css)
20:41:32	1003/1003	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202016%2018:32:52%20GMT	http://www.saadstudio.in/js/fancybox/fancybox_overlay.png	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/js/fancybox/fancybox_overlay.png	(from http://www.saadstudio.in/js/fancybox/jquery.fancybox.css)
20:41:33	6553/6553	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Aug%202016%2018:32:53%20GMT	http://www.saadstudio.in/js/fancybox/fancybox_sprite_402x.png	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/js/fancybox/fancybox_sprite_402x.png	(from http://www.saadstudio.in/js/fancybox/jquery.fancybox.css)
20:41:35	33233/33233	---M--	200	added ('OK')	text/css	date:Tue,%2023%20Aug%202016%2018:30:32%20GMT	http://www.saadstudio.in/css/font-awesome.css	C:/Users/ARUN/Desktop/saad/www.saadstudio.in/css/font-awesome.css	(from http://www.saadstudio.in/css/style.css)
